TargetName	DSP-1010474710004-A04	DSP-1010474710004-A06	DSP-1010474710004-A08	DSP-1010474710004-A10	DSP-1010474710004-A12	DSP-1010474710004-B02	DSP-1010474710004-B04	DSP-1010474710004-B06	DSP-1011206234567-H08
ADCY3	45	21	6	2	15	8	1	1	6
ADCY4	47	16	5	3	15	10	2	4	11
ADCY5	36	9	4	1	14	4	1	5	4
ADCY6	80	24	9	4	43	6	1	8	6
ADCY7	42	11	1	3	18	3	1	1	5
ADCY8	34	13	4	1	19	10	1	5	3
ADCY9	26	15	2	1	21	4	1	3	10
ADCYAP1	49	11	3	1	20	3	1	1	7
ADCYAP1R1	67	24	10	5	27	11	1	2	6
ADD1	52	12	11	1	43	9	3	6	8
ADD3	45	16	9	2	43	17	4	7	7
ADGB	51	16	1	2	15	7	3	1	9
ADGRA1	61	14	2	3	24	7	1	2	5
ADGRA2	35	10	4	1	11	5	1	2	8
ADGRA3	77	20	8	1	28	7	1	3	9
ADGRB1	121	45	28	8	30	14	1	2	6
ADGRB2	56	17	6	3	15	6	1	2	2
ADGRB3	60	15	12	2	36	7	1	2	5
ADGRD1	32	16	6	2	6	4	1	1	8
ADGRD2	69	22	12	4	23	5	1	1	5
ADGRE1	35	13	3	1	7	1	1	1	3
ADGRE2,ADGRE3	62	12	4	6	24	12	2	2	13
ADGRE5	66	27	6	3	15	13	1	3	10
ADGRF1	49	12	11	3	15	7	1	4	6
ADGRF2	40	17	10	1	29	4	1	3	14
ADGRF3	52	14	7	4	22	5	1	3	6
ADGRF4	59	16	1	2	22	11	1	1	3
ADGRF5	57	18	10	1	21	9	1	2	5
ADGRG1	79	33	12	5	67	26	3	6	6
ADGRG2	38	10	3	2	20	3	4	1	5
ADGRG4	43	12	6	1	24	5	1	2	9
ADGRG5	41	14	5	3	18	4	1	1	12
ADGRG6	50	15	2	1	27	5	2	2	6
ADGRG7	44	18	5	1	15	8	1	3	5
ADGRL1	81	26	7	3	31	11	1	2	9
ADGRL2	65	21	4	1	19	8	1	3	8
ADGRL3	102	34	18	2	38	3	2	8	6
ADGRL4	45	19	7	3	28	8	1	3	8
ADGRV1	66	30	6	1	23	8	1	1	16
ADH1B,ADH1C,ADH1A	58	18	8	4	22	13	1	1	5
ADH4	47	20	7	1	17	7	1	1	9
ADH5	136	41	15	4	46	12	1	4	12
ADH6	45	14	12	2	23	5	1	2	8
ADH7	49	15	5	6	22	5	2	2	10
ADHFE1	35	18	5	1	19	3	1	1	3
ADI1	81	37	8	3	34	18	1	2	8
ADIG	55	18	8	1	23	8	1	1	6
ADIPOQ-AS1,ADIPOQ	52	23	7	1	27	4	1	2	6
ADIPOR1	43	23	5	3	19	5	2	4	37
ADIPOR2	45	18	7	3	48	14	3	2	1
ADIRF	52	13	6	3	23	9	1	1	6
ADK	35	14	4	1	21	3	2	1	4
ADM	41	12	6	1	30	5	1	9	8
ADM2	50	9	5	1	11	1	1	1	7
ADM5	35	14	2	3	19	3	1	2	2
ADNP	57	17	2	2	23	4	1	1	6
ADNP2	61	13	6	4	13	10	1	7	3
ADO	36	13	1	2	23	5	1	5	6
ADORA1	86	31	15	5	36	16	1	2	4
ADORA2B	73	17	5	3	29	12	1	1	9
ADORA3	50	19	6	1	41	9	1	2	8
ADPGK	66	13	6	3	46	12	2	6	6
ADPRH	57	20	11	2	16	4	1	6	15
