TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass
AR	AR	All Probes	RNA	Endogenous
BID	BID	All Probes	RNA	Endogenous
ITGAX	ITGAX	All Probes	RNA	Endogenous
SERPINA1	SERPINA1	All Probes	RNA	Endogenous
WIF1	WIF1	All Probes	RNA	Endogenous
XPA	XPA	All Probes	RNA	Endogenous
FGF10	FGF10	All Probes	RNA	Endogenous
TNFSF15	TNFSF15	All Probes	RNA	Endogenous
NEIL1	NEIL1	All Probes	RNA	Endogenous
TNFRSF11B	TNFRSF11B	All Probes	RNA	Endogenous
RELN	RELN	All Probes	RNA	Endogenous
RUNX3	RUNX3	All Probes	RNA	Endogenous
PPP2CB	PPP2CB	All Probes	RNA	Endogenous
MAP3K5	MAP3K5	All Probes	RNA	Endogenous
TET2	TET2	All Probes	RNA	Endogenous
FAS	FAS	All Probes	RNA	Endogenous
NF2	NF2	All Probes	RNA	Endogenous
CCNB3	CCNB3	All Probes	RNA	Endogenous
IL13RA1	IL13RA1	All Probes	RNA	Endogenous
FANCA	FANCA	All Probes	RNA	Endogenous
HDAC4	HDAC4	All Probes	RNA	Endogenous
PDGFRA	PDGFRA	All Probes	RNA	Endogenous
PNMA1	"PNMA1,TGFB1"	All Probes	RNA	Endogenous
PLA2G4F	PLA2G4F	All Probes	RNA	Endogenous
CD3G	CD3G	All Probes	RNA	Endogenous
RAB7A	RAB7A	All Probes	RNA	Control
HLA-F	HLA-F	All Probes	RNA	Endogenous
CX3CR1	CX3CR1	All Probes	RNA	Endogenous
GLS	GLS	All Probes	RNA	Endogenous
EGFR	EGFR	All Probes	RNA	Endogenous
CTSS	CTSS	All Probes	RNA	Endogenous
C8B	C8B	All Probes	RNA	Endogenous
PIK3CG	PIK3CG	All Probes	RNA	Endogenous
CCNA1	CCNA1	All Probes	RNA	Endogenous
NUMBL	NUMBL	All Probes	RNA	Endogenous
RSAD2	RSAD2	All Probes	RNA	Endogenous
TNFRSF17	TNFRSF17	All Probes	RNA	Endogenous
CD300A	CD300A	All Probes	RNA	Endogenous
PDGFRB	"PDGFRB,Ascl1"	All Probes	RNA	Endogenous
HGF	HGF	All Probes	RNA	Endogenous
VTCN1	VTCN1	All Probes	RNA	Endogenous
MLLT3	MLLT3	All Probes	RNA	Endogenous
FANCF	FANCF	All Probes	RNA	Endogenous
CMKLR1	CMKLR1	All Probes	RNA	Endogenous
ARID2	ARID2	All Probes	RNA	Endogenous
CFB	CFB	All Probes	RNA	Endogenous
E2F5	E2F5	All Probes	RNA	Endogenous
STK11	STK11	All Probes	RNA	Endogenous
ABL1	ABL1	All Probes	RNA	Endogenous
SYK	SYK	All Probes	RNA	Endogenous
SELP	SELP	All Probes	RNA	Endogenous
IL23R	IL23R	All Probes	RNA	Endogenous
PPBP	PPBP	All Probes	RNA	Endogenous
EBI3	EBI3	All Probes	RNA	Endogenous
RIPK3	RIPK3	All Probes	RNA	Endogenous
KRT18	KRT18	All Probes	RNA	Endogenous
TNFSF14	TNFSF14	All Probes	RNA	Endogenous
IFNL1	IFNL1	All Probes	RNA	Endogenous
CD69	CD69	All Probes	RNA	Endogenous
ITGB1	ITGB1	All Probes	RNA	Endogenous
HSPB1	HSPB1	All Probes	RNA	Endogenous
HDAC11	HDAC11	All Probes	RNA	Endogenous
LEFTY2	LEFTY2	All Probes	RNA	Endogenous
PPP3CA	PPP3CA	All Probes	RNA	Endogenous
ARNT2	ARNT2	All Probes	RNA	Endogenous
PIM1	PIM1	All Probes	RNA	Endogenous
RRM2	RRM2	All Probes	RNA	Endogenous
IL12RB2	IL12RB2	All Probes	RNA	Endogenous
FGFR2	FGFR2	All Probes	RNA	Endogenous
MELK	MELK	All Probes	RNA	Endogenous
TRAT1	TRAT1	All Probes	RNA	Endogenous
CD80	CD80	All Probes	RNA	Endogenous
PRKAR1B	PRKAR1B	All Probes	RNA	Endogenous
CD86	CD86	All Probes	RNA	Endogenous
CREB1	CREB1	All Probes	RNA	Endogenous
LYZ	LYZ	All Probes	RNA	Endogenous
IFIT1	IFIT1	All Probes	RNA	Endogenous
MCM4	MCM4	All Probes	RNA	Endogenous
DUSP4	DUSP4	All Probes	RNA	Endogenous
BNIP3L	BNIP3L	All Probes	RNA	Endogenous
PARP9	PARP9	All Probes	RNA	Endogenous
PTPN11	PTPN11	All Probes	RNA	Endogenous
CTCFL	CTCFL	All Probes	RNA	Endogenous
PLCG2	PLCG2	All Probes	RNA	Endogenous
EYA1	EYA1	All Probes	RNA	Endogenous
CRLF2	CRLF2	All Probes	RNA	Endogenous
SGK1	SGK1	All Probes	RNA	Endogenous
DUSP2	DUSP2	All Probes	RNA	Endogenous
CD38	CD38	All Probes	RNA	Endogenous
UBA7	"GLI1,UBA7"	All Probes	RNA	Endogenous
FGF20	FGF20	All Probes	RNA	Endogenous
MAP3K1	MAP3K1	All Probes	RNA	Endogenous
BMPR1B	BMPR1B	All Probes	RNA	Endogenous
TBXAS1	TBXAS1	All Probes	RNA	Endogenous
IL17A	IL17A	All Probes	RNA	Endogenous
HCK	HCK	All Probes	RNA	Endogenous
SP1	SP1	All Probes	RNA	Endogenous
GHR	GHR	All Probes	RNA	Endogenous
NOTCH3	NOTCH3	All Probes	RNA	Endogenous
MRE11	MRE11	All Probes	RNA	Endogenous
DNMT3A	DNMT3A	All Probes	RNA	Endogenous
TLR8	TLR8	All Probes	RNA	Endogenous
PDGFA	PDGFA	All Probes	RNA	Endogenous
PRAME	PRAME	All Probes	RNA	Endogenous
FGFR4	FGFR4	All Probes	RNA	Endogenous
FAM124B	FAM124B	All Probes	RNA	Endogenous
INHBB	INHBB	All Probes	RNA	Endogenous
PRKCG	PRKCG	All Probes	RNA	Endogenous
BCAT1	BCAT1	All Probes	RNA	Endogenous
GNLY	GNLY	All Probes	RNA	Endogenous
TLR2	TLR2	All Probes	RNA	Endogenous
LRP1	LRP1	All Probes	RNA	Endogenous
CDKN1B	CDKN1B	All Probes	RNA	Endogenous
IFNGR1	IFNGR1	All Probes	RNA	Endogenous
MAP4K2	MAP4K2	All Probes	RNA	Endogenous
IL17RA	IL17RA	All Probes	RNA	Endogenous
ALDOA	ALDOA	All Probes	RNA	Endogenous
TLR7	TLR7	All Probes	RNA	Endogenous
NCF4	NCF4	All Probes	RNA	Endogenous
ZAP70	ZAP70	All Probes	RNA	Endogenous
CDH2	CDH2	All Probes	RNA	Endogenous
NFKBIZ	NFKBIZ	All Probes	RNA	Endogenous
IFI27	IFI27	All Probes	RNA	Endogenous
IL20RB	IL20RB	All Probes	RNA	Endogenous
TNFRSF9	TNFRSF9	All Probes	RNA	Endogenous
DUSP8	DUSP8	All Probes	RNA	Endogenous
CXCL16	CXCL16	All Probes	RNA	Endogenous
GPR160	GPR160	All Probes	RNA	Endogenous
FGF12	FGF12	All Probes	RNA	Endogenous
FZD8	FZD8	All Probes	RNA	Endogenous
