TargetName	HUGOSymbol	TargetGroup	AnalyteType	CodeClass
MAPK14	MAPK14	All Probes	RNA	Endogenous
VCAM1	VCAM1	All Probes	RNA	Endogenous
C1QBP	C1QBP	All Probes	RNA	Endogenous
LGALS3	LGALS3	All Probes	RNA	Endogenous
CREB5	CREB5	All Probes	RNA	Endogenous
CD4	CD4	All Probes	RNA	Endogenous
PDGFB	PDGFB	All Probes	RNA	Endogenous
IL22RA2	IL22RA2	All Probes	RNA	Endogenous
CD7	CD7	All Probes	RNA	Endogenous
FOS	FOS	All Probes	RNA	Endogenous
CCR7	CCR7	All Probes	RNA	Endogenous
PASD1	PASD1	All Probes	RNA	Endogenous
GTF3C1	GTF3C1	All Probes	RNA	Endogenous
ROCK1	ROCK1	All Probes	RNA	Endogenous
AREG	AREG	All Probes	RNA	Endogenous
SNAI1	SNAI1	All Probes	RNA	Endogenous
TNFSF11	TNFSF11	All Probes	RNA	Endogenous
UBE2T	UBE2T	All Probes	RNA	Endogenous
CLEC4A	CLEC4A	All Probes	RNA	Endogenous
CASP3	CASP3	All Probes	RNA	Endogenous
RASGRP2	RASGRP2	All Probes	RNA	Endogenous
MAPK1	MAPK1	All Probes	RNA	Endogenous
CD1B	CD1B	All Probes	RNA	Endogenous
IL17B	IL17B	All Probes	RNA	Endogenous
BMP6	BMP6	All Probes	RNA	Endogenous
TNFSF4	TNFSF4	All Probes	RNA	Endogenous
CACNA2D4	CACNA2D4	All Probes	RNA	Endogenous
TIRAP	TIRAP	All Probes	RNA	Endogenous
CLEC4C	CLEC4C	All Probes	RNA	Endogenous
BLNK	BLNK	All Probes	RNA	Endogenous
HDC	HDC	All Probes	RNA	Endogenous
PLD1	PLD1	All Probes	RNA	Endogenous
RXRG	RXRG	All Probes	RNA	Endogenous
MEFV	MEFV	All Probes	RNA	Endogenous
ZEB2	ZEB2	All Probes	RNA	Endogenous
SIGIRR	SIGIRR	All Probes	RNA	Endogenous
MME	MME	All Probes	RNA	Endogenous
SMAP1	SMAP1	All Probes	RNA	Endogenous
IL10RA	IL10RA	All Probes	RNA	Endogenous
PRKACG	PRKACG	All Probes	RNA	Endogenous
TAPBP	TAPBP	All Probes	RNA	Endogenous
SGK2	SGK2	All Probes	RNA	Endogenous
CD5	CD5	All Probes	RNA	Endogenous
APP	APP	All Probes	RNA	Endogenous
ZC3H12A	ZC3H12A	All Probes	RNA	Endogenous
LY86	LY86	All Probes	RNA	Endogenous
SPRY4	SPRY4	All Probes	RNA	Endogenous
TNFRSF11A	TNFRSF11A	All Probes	RNA	Endogenous
COL4A4	COL4A4	All Probes	RNA	Endogenous
FZD9	FZD9	All Probes	RNA	Endogenous
CCL25	CCL25	All Probes	RNA	Endogenous
KRT19	KRT19	All Probes	RNA	Endogenous
STC1	STC1	All Probes	RNA	Endogenous
PAX5	PAX5	All Probes	RNA	Endogenous
MFGE8	MFGE8	All Probes	RNA	Endogenous
FCER1A	FCER1A	All Probes	RNA	Endogenous
GSK3B	GSK3B	All Probes	RNA	Endogenous
IGF1R	IGF1R	All Probes	RNA	Endogenous
BTK	BTK	All Probes	RNA	Endogenous
E2F3	E2F3	All Probes	RNA	Endogenous
SLAMF1	SLAMF1	All Probes	RNA	Endogenous
PML	PML	All Probes	RNA	Endogenous
XCL1	XCL1	All Probes	RNA	Endogenous
NRP1	NRP1	All Probes	RNA	Endogenous
IL1A	IL1A	All Probes	RNA	Endogenous
LAG3	LAG3	All Probes	RNA	Endogenous
FGF1	FGF1	All Probes	RNA	Endogenous
TLR6	TLR6	All Probes	RNA	Endogenous
CTSL	CTSL	All Probes	RNA	Endogenous
TNFAIP3	TNFAIP3	All Probes	RNA	Endogenous
CCR1	CCR1	All Probes	RNA	Endogenous
CASP8	CASP8	All Probes	RNA	Endogenous
FUT5	FUT5	All Probes	RNA	Endogenous
BMP2	BMP2	All Probes	RNA	Endogenous
ATG12	ATG12	All Probes	RNA	Endogenous
CD1A	CD1A	All Probes	RNA	Endogenous
SH2D1B	SH2D1B	All Probes	RNA	Endogenous
NOD2	NOD2	All Probes	RNA	Endogenous
GADD45A	GADD45A	All Probes	RNA	Endogenous
LYN	LYN	All Probes	RNA	Endogenous
NTRK1	NTRK1	All Probes	RNA	Endogenous
TRIM21	TRIM21	All Probes	RNA	Endogenous
FGF6	FGF6	All Probes	RNA	Endogenous
GNAQ	GNAQ	All Probes	RNA	Endogenous
TFDP1	TFDP1	All Probes	RNA	Endogenous
PFKFB3	PFKFB3	All Probes	RNA	Endogenous
TGFB1	TGFB1	All Probes	RNA	Endogenous
SOCS2	SOCS2	All Probes	RNA	Endogenous
MMRN2	MMRN2	All Probes	RNA	Endogenous
SMAD4	SMAD4	All Probes	RNA	Endogenous
GPSM3	GPSM3	All Probes	RNA	Endogenous
REPS1	REPS1	All Probes	RNA	Endogenous
NCR1	NCR1	All Probes	RNA	Endogenous
RRAS2	RRAS2	All Probes	RNA	Endogenous
LAMA5	LAMA5	All Probes	RNA	Endogenous
SYCP1	SYCP1	All Probes	RNA	Endogenous
CD8A	CD8A	All Probes	RNA	Endogenous
CD244	CD244	All Probes	RNA	Endogenous
CCL22	CCL22	All Probes	RNA	Endogenous
FZD10	FZD10	All Probes	RNA	Endogenous
NFATC2	NFATC2	All Probes	RNA	Endogenous
HNF1A	HNF1A	All Probes	RNA	Endogenous
FSTL3	FSTL3	All Probes	RNA	Endogenous
ARG1	ARG1	All Probes	RNA	Endogenous
MAGEC1	MAGEC1	All Probes	RNA	Endogenous
IL4R	IL4R	All Probes	RNA	Endogenous
DDX58	DDX58	All Probes	RNA	Endogenous
FOXP3	FOXP3	All Probes	RNA	Endogenous
SFRP1	SFRP1	All Probes	RNA	Endogenous
HMGA2	HMGA2	All Probes	RNA	Endogenous
JAG1	JAG1	All Probes	RNA	Endogenous
POLE2	POLE2	All Probes	RNA	Endogenous
TOLLIP	TOLLIP	All Probes	RNA	Endogenous
ENTPD1	ENTPD1	All Probes	RNA	Endogenous
CDKN2C	CDKN2C	All Probes	RNA	Endogenous
MAPK11	MAPK11	All Probes	RNA	Endogenous
IRS1	IRS1	All Probes	RNA	Endogenous
MAP2K6	MAP2K6	All Probes	RNA	Endogenous
IL1B	IL1B	All Probes	RNA	Endogenous
VEGFC	VEGFC	All Probes	RNA	Endogenous
SMPD3	SMPD3	All Probes	RNA	Endogenous
CENPF	CENPF	All Probes	RNA	Endogenous
OAZ1	OAZ1	All Probes	RNA	Control
TNFAIP6	TNFAIP6	All Probes	RNA	Endogenous
PRL	PRL	All Probes	RNA	Endogenous
ABCB1	ABCB1	All Probes	RNA	Endogenous
FANCG	FANCG	All Probes	RNA	Endogenous
GZMK	GZMK	All Probes	RNA	Endogenous
HK2	HK2	All Probes	RNA	Endogenous
RELB	RELB	All Probes	RNA	Endogenous
DPP4	DPP4	All Probes	RNA	Endogenous
CCR6	CCR6	All Probes	RNA	Endogenous
GLI3	GLI3	All Probes	RNA	Endogenous
TAL1	TAL1	All Probes	RNA	Endogenous
LIF	LIF	All Probes	RNA	Endogenous
NDUFA4L2	NDUFA4L2	All Probes	RNA	Endogenous
CXCR4	CXCR4	All Probes	RNA	Endogenous
SPN	SPN	All Probes	RNA	Endogenous
BDNF	BDNF	All Probes	RNA	Endogenous
HERC6	HERC6	All Probes	RNA	Endogenous
SHC2	SHC2	All Probes	RNA	Endogenous
TCF3	TCF3	All Probes	RNA	Endogenous
FGF18	FGF18	All Probes	RNA	Endogenous
PLA2G4A	PLA2G4A	All Probes	RNA	Endogenous
CD14	CD14	All Probes	RNA	Endogenous
CEACAM1	CEACAM1	All Probes	RNA	Endogenous
FOXO4	FOXO4	All Probes	RNA	Endogenous
TPI1	TPI1	All Probes	RNA	Endogenous
COL2A1	COL2A1	All Probes	RNA	Endogenous
HELLS	HELLS	All Probes	RNA	Endogenous
GZMA	GZMA	All Probes	RNA	Endogenous
EPOR	EPOR	All Probes	RNA	Endogenous
MEN1	MEN1	All Probes	RNA	Endogenous
TNFRSF14	TNFRSF14	All Probes	RNA	Endogenous
CCR4	CCR4	All Probes	RNA	Endogenous
FGF17	FGF17	All Probes	RNA	Endogenous
SIRT4	SIRT4	All Probes	RNA	Endogenous
ARG2	ARG2	All Probes	RNA	Endogenous
IL33	IL33	All Probes	RNA	Endogenous
FCAR	FCAR	All Probes	RNA	Endogenous
PLA2G4C	PLA2G4C	All Probes	RNA	Endogenous
BAMBI	BAMBI	All Probes	RNA	Endogenous
CX3CL1	CX3CL1	All Probes	RNA	Endogenous
REN	REN	All Probes	RNA	Endogenous
ABCF1	ABCF1	All Probes	RNA	Endogenous
SERPINH1	SERPINH1	All Probes	RNA	Endogenous
PITX2	PITX2	All Probes	RNA	Endogenous
LAMC3	LAMC3	All Probes	RNA	Endogenous
SLAMF7	SLAMF7	All Probes	RNA	Endogenous
PSMB9	PSMB9	All Probes	RNA	Endogenous
IL12A	IL12A	All Probes	RNA	Endogenous
ITGB3	ITGB3	All Probes	RNA	Endogenous
FGF19	FGF19	All Probes	RNA	Endogenous
NLRC5	NLRC5	All Probes	RNA	Endogenous
TTC30A	TTC30A	All Probes	RNA	Endogenous
C4BPA	C4BPA	All Probes	RNA	Endogenous
IFIT3	IFIT3	All Probes	RNA	Endogenous
PBX1	PBX1	All Probes	RNA	Endogenous
BCL6	BCL6	All Probes	RNA	Endogenous
GNAS	GNAS	All Probes	RNA	Endogenous
TAP1	TAP1	All Probes	RNA	Endogenous
TLX1	TLX1	All Probes	RNA	Endogenous
TBK1	TBK1	All Probes	RNA	Endogenous
MAP3K14	MAP3K14	All Probes	RNA	Endogenous
COL4A6	COL4A6	All Probes	RNA	Endogenous
MXI1	MXI1	All Probes	RNA	Endogenous
IHH	IHH	All Probes	RNA	Endogenous
PSEN2	PSEN2	All Probes	RNA	Endogenous
LILRB4	LILRB4	All Probes	RNA	Endogenous
PFKM	PFKM	All Probes	RNA	Endogenous
MAP3K12	MAP3K12	All Probes	RNA	Endogenous
GLUD1	GLUD1	All Probes	RNA	Endogenous
DUSP10	DUSP10	All Probes	RNA	Endogenous
NASP	NASP	All Probes	RNA	Endogenous
IL3	IL3	All Probes	RNA	Endogenous
OASL	OASL	All Probes	RNA	Endogenous
EPHA2	EPHA2	All Probes	RNA	Endogenous
PPARG	PPARG	All Probes	RNA	Endogenous
IL2RG	IL2RG	All Probes	RNA	Endogenous
SMC3	SMC3	All Probes	RNA	Endogenous
SLC16A1	SLC16A1	All Probes	RNA	Endogenous
PIK3R1	PIK3R1	All Probes	RNA	Endogenous
PLCE1	PLCE1	All Probes	RNA	Endogenous
C3AR1	C3AR1	All Probes	RNA	Endogenous
FZD7	FZD7	All Probes	RNA	Endogenous
FUT4	FUT4	All Probes	RNA	Endogenous
TPM1	TPM1	All Probes	RNA	Endogenous
ANXA1	ANXA1	All Probes	RNA	Endogenous
ITGA4	ITGA4	All Probes	RNA	Endogenous
CXCL8	CXCL8	All Probes	RNA	Endogenous
IKBKB	IKBKB	All Probes	RNA	Endogenous
DTX3	DTX3	All Probes	RNA	Endogenous
ITCH	ITCH	All Probes	RNA	Endogenous
IL1RAPL2	IL1RAPL2	All Probes	RNA	Endogenous
CACNG4	CACNG4	All Probes	RNA	Endogenous
F12	F12	All Probes	RNA	Endogenous
PCK1	PCK1	All Probes	RNA	Endogenous
WNT5B	WNT5B	All Probes	RNA	Endogenous
CHAD	CHAD	All Probes	RNA	Endogenous
JAK3	JAK3	All Probes	RNA	Endogenous
SOD2	SOD2	All Probes	RNA	Endogenous
SLC11A1	SLC11A1	All Probes	RNA	Endogenous
TYMP	TYMP	All Probes	RNA	Endogenous
ANGPTL4	ANGPTL4	All Probes	RNA	Endogenous
CDKN2D	CDKN2D	All Probes	RNA	Endogenous
TAPBPL	TAPBPL	All Probes	RNA	Endogenous
AMBP	AMBP	All Probes	RNA	Endogenous
SHC1	SHC1	All Probes	RNA	Endogenous
ID4	ID4	All Probes	RNA	Endogenous
CCND2	CCND2	All Probes	RNA	Endogenous
CTSW	CTSW	All Probes	RNA	Endogenous
PRLR	PRLR	All Probes	RNA	Endogenous
C5AR1	C5AR1	All Probes	RNA	Endogenous
LCP1	LCP1	All Probes	RNA	Endogenous
STAT6	STAT6	All Probes	RNA	Endogenous
SPACA3	SPACA3	All Probes	RNA	Endogenous
CDH1	CDH1	All Probes	RNA	Endogenous
MTOR	MTOR	All Probes	RNA	Endogenous
FASLG	FASLG	All Probes	RNA	Endogenous
RAD50	RAD50	All Probes	RNA	Endogenous
MET	MET	All Probes	RNA	Endogenous
PTEN	"PTENP1,PTEN"	All Probes	RNA	Endogenous
NegProbe	ERCC-00007	All Probes	SpikeIn	Negative
IL21	IL21	All Probes	RNA	Endogenous
LTK	LTK	All Probes	RNA	Endogenous
PSEN1	PSEN1	All Probes	RNA	Endogenous
CACNA2D1	CACNA2D1	All Probes	RNA	Endogenous
SRP54	SRP54	All Probes	RNA	Endogenous
MLF1	MLF1	All Probes	RNA	Endogenous
UBB	"UBB,UBBP4"	All Probes	RNA	Control
MAP3K7	MAP3K7	All Probes	RNA	Endogenous
PPP3R1	PPP3R1	All Probes	RNA	Endogenous
APC	APC	All Probes	RNA	Endogenous
FGFR3	FGFR3	All Probes	RNA	Endogenous
CCL19	CCL19	All Probes	RNA	Endogenous
MDC1	MDC1	All Probes	RNA	Endogenous
CACNA1H	CACNA1H	All Probes	RNA	Endogenous
ITGAL	ITGAL	All Probes	RNA	Endogenous
DKK1	DKK1	All Probes	RNA	Endogenous
CHEK2	CHEK2	All Probes	RNA	Endogenous
RAD51C	RAD51C	All Probes	RNA	Endogenous
KLRC1	KLRC1	All Probes	RNA	Endogenous
GRIA3	GRIA3	All Probes	RNA	Endogenous
PSMB2	PSMB2	All Probes	RNA	Control
ANP32B	ANP32B	All Probes	RNA	Endogenous
NRAS	NRAS	All Probes	RNA	Endogenous
NT5E	NT5E	All Probes	RNA	Endogenous
CRABP2	CRABP2	All Probes	RNA	Endogenous
PRKACB	PRKACB	All Probes	RNA	Endogenous
ETV4	ETV4	All Probes	RNA	Endogenous
CD276	CD276	All Probes	RNA	Endogenous
NOS3	NOS3	All Probes	RNA	Endogenous
CDK2	CDK2	All Probes	RNA	Endogenous
CCNE1	CCNE1	All Probes	RNA	Endogenous
ADGRE1	ADGRE1	All Probes	RNA	Endogenous
CSF1R	CSF1R	All Probes	RNA	Endogenous
CXCR6	CXCR6	All Probes	RNA	Endogenous
CRP	CRP	All Probes	RNA	Endogenous
ERCC6	ERCC6	All Probes	RNA	Endogenous
IL18	IL18	All Probes	RNA	Endogenous
MAPK10	MAPK10	All Probes	RNA	Endogenous
MAVS	MAVS	All Probes	RNA	Endogenous
FEN1	FEN1	All Probes	RNA	Endogenous
PRDM1	PRDM1	All Probes	RNA	Endogenous
ICAM1	ICAM1	All Probes	RNA	Endogenous
CCR5	CCR5	All Probes	RNA	Endogenous
CD47	CD47	All Probes	RNA	Endogenous
BAP1	BAP1	All Probes	RNA	Endogenous
NGFR	NGFR	All Probes	RNA	Endogenous
APOL6	APOL6	All Probes	RNA	Endogenous
RUNX1T1	RUNX1T1	All Probes	RNA	Endogenous
KLF4	"Fbxl5,KLF4"	All Probes	RNA	Endogenous
HES1	HES1	All Probes	RNA	Endogenous
IL15RA	IL15RA	All Probes	RNA	Endogenous
IGFBP3	IGFBP3	All Probes	RNA	Endogenous
STAG2	STAG2	All Probes	RNA	Endogenous
LBP	"ERG,LBP"	All Probes	RNA	Endogenous
PTCH1	PTCH1	All Probes	RNA	Endogenous
WNT5A	WNT5A	All Probes	RNA	Endogenous
MBL2	MBL2	All Probes	RNA	Endogenous
NFKBIA	NFKBIA	All Probes	RNA	Endogenous
MAGEB2	MAGEB2	All Probes	RNA	Endogenous
KLRG1	KLRG1	All Probes	RNA	Endogenous
HMGA1	HMGA1	All Probes	RNA	Endogenous
IGF1	IGF1	All Probes	RNA	Endogenous
NFAM1	NFAM1	All Probes	RNA	Endogenous
TGFBR2	TGFBR2	All Probes	RNA	Endogenous
TLR10	TLR10	All Probes	RNA	Endogenous
TLR9	TLR9	All Probes	RNA	Endogenous
CD163	CD163	All Probes	RNA	Endogenous
CALML3	CALML3	All Probes	RNA	Endogenous
CCND3	CCND3	All Probes	RNA	Endogenous
GNG4	GNG4	All Probes	RNA	Endogenous
NR4A1	NR4A1	All Probes	RNA	Endogenous
CEBPA	CEBPA	All Probes	RNA	Endogenous
PRKAA2	PRKAA2	All Probes	RNA	Endogenous
CCL28	CCL28	All Probes	RNA	Endogenous
IL1RL1	IL1RL1	All Probes	RNA	Endogenous
GNG7	GNG7	All Probes	RNA	Endogenous
AICDA	AICDA	All Probes	RNA	Endogenous
BCL2A1	BCL2A1	All Probes	RNA	Endogenous
S100A8	S100A8	All Probes	RNA	Endogenous
DKK2	DKK2	All Probes	RNA	Endogenous
RFC3	RFC3	All Probes	RNA	Endogenous
MAGEC2	MAGEC2	All Probes	RNA	Endogenous
DMBT1	DMBT1	All Probes	RNA	Endogenous
ADAM12	ADAM12	All Probes	RNA	Endogenous
ARID1B	ARID1B	All Probes	RNA	Endogenous
CCR2	CCR2	All Probes	RNA	Endogenous
IFIT2	IFIT2	All Probes	RNA	Endogenous
IL1R2	IL1R2	All Probes	RNA	Endogenous
BMP7	BMP7	All Probes	RNA	Endogenous
TGFB3	TGFB3	All Probes	RNA	Endogenous
LTBP1	LTBP1	All Probes	RNA	Endogenous
C8A	C8A	All Probes	RNA	Endogenous
RAD21	RAD21	All Probes	RNA	Endogenous
POLR1B	POLR1B	All Probes	RNA	Endogenous
GBP2	GBP2	All Probes	RNA	Endogenous
FADD	FADD	All Probes	RNA	Endogenous
NTRK2	NTRK2	All Probes	RNA	Endogenous
IFI6	IFI6	All Probes	RNA	Endogenous
FUT7	FUT7	All Probes	RNA	Endogenous
TCL1A	TCL1A	All Probes	RNA	Endogenous
ETS1	ETS1	All Probes	RNA	Endogenous
C6	C6	All Probes	RNA	Endogenous
TNN	TNN	All Probes	RNA	Endogenous
FGF16	FGF16	All Probes	RNA	Endogenous
BIRC5	BIRC5	All Probes	RNA	Endogenous
PRKCE	PRKCE	All Probes	RNA	Endogenous
BMP5	BMP5	All Probes	RNA	Endogenous
KDR	KDR	All Probes	RNA	Endogenous
ATG5	ATG5	All Probes	RNA	Endogenous
ICOS	ICOS	All Probes	RNA	Endogenous
TBC1D10B	TBC1D10B	All Probes	RNA	Control
MMP1	MMP1	All Probes	RNA	Endogenous
TYMS	TYMS	All Probes	RNA	Endogenous
FPR3	FPR3	All Probes	RNA	Endogenous
NGF	NGF	All Probes	RNA	Endogenous
SPOP	SPOP	All Probes	RNA	Endogenous
